code,name,county,city,full_address,long,lat,district,name_y,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
740302,A G Cox Middle,Pitt,Winterville,"2657 Church Street, Winterville, NC 28590",-77.400482,35.524348,Pitt County Schools,A G Cox Middle,48.9,C,60.7,2
650384,A H Snipes Academy of Arts/Des,New Hanover,Wilmington,"2150 Chestnut Street, Wilmington, NC 28405",-77.9204058,34.2393823,New Hanover County Schools,A H Snipes Academy of Arts/Des,91.5,D,33.2,4
132304,A L Brown High,Cabarrus,Kannapolis,"415 E 1st Street, Kannapolis, NC 28083",-80.6186581,35.4959688,Kannapolis City Schools,A L Brown High,32.6,C,35.3,4
680304,A L Stanback Middle,Orange,Hillsborough,"3700 NC 86 South, Hillsborough, NC 27278",-79.0791526,36.0265792,Orange County Schools,A L Stanback Middle,52.3,C,59.5,3
130304,A T Allen Elementary,Cabarrus,Concord,"3939 Abilene Rd, Concord, NC 28025",-80.513661,35.362707,Cabarrus County Schools,A T Allen Elementary,58.1,C,61.6,2
13C000,A.C.E. Academy,Cabarrus,Harrisburg,"7807 Caldwell Road, Harrisburg, NC 28075",-80.6730051,35.3082994,Charter Schools,A.C.E. Academy,57.1,D,39.1,4
920303,Abbotts Creek Elementary,Wake,Raleigh,"9900 Durant Road, Raleigh, NC 27614",-78.578003,35.902786,Wake County Schools,Abbotts Creek Elementary,24.1,B,73.6,2
630308,Aberdeen Elementary,Moore,Aberdeen,"503 Sandhills Blvd N, Aberdeen, NC 28315",-79.426078,35.139826,Moore County Schools,Aberdeen Elementary,81.6,D,35.1,4
630304,Aberdeen Primary,Moore,Aberdeen,"310 Keyser St, Aberdeen, NC 28315",-79.423373,35.124083,aanomatch,aanomatch,,,,
410545,Academy at Smith,Guilford,Greensboro,"2225 South Holden Road, Greensboro, NC 27407",-79.8494506,36.0379155,Guilford County Schools,Academy at Smith,80,B,55,3
240308,Acme Delco Elementary,Columbus,Riegelwood,"16337 Old Lake Road, Riegelwood, NC 28456",-78.2544189,34.3475806,Columbus County Schools,Acme Delco Elementary,82.1,D,48,3
240304,Acme Delco Middle,Columbus,Delco,"26133 Andrew Jackson Hwy, Delco, NC 28436",-78.7141765,34.3485085,Columbus County Schools,Acme Delco Middle,79.5,C,47.3,3
920304,Adams Elementary,Wake,Cary,"805 Cary Towne Blvd, Cary, NC 27511",-78.7616244,35.7772888,Wake County Schools,Adams Elementary,45.8,C,62.6,2
910368,AdVance Academy,Vance,Henderson,"219 Charles Street, Henderson, NC 27536",-78.3997016,36.3277107,aanomatch,aanomatch,,,,
490307,Agriculture and Science Early College,Iredell,Olin,"158 Raider Rd, Olin, NC 28660",-80.8676113,35.9278219,Iredell-Statesville Schools,Agriculture and Science Early College,28.9,A,87.2,1
460308,Ahoskie Elementary,Hertford,Ahoskie,"200 N Talmage St, Ahoskie, NC 27910",-76.994518,36.2916745,Hertford County Schools,Ahoskie Elementary,63.7,F,34.3,4
410304,Alamance Elementary,Guilford,Greensboro,"3600 Williams Dairy Road, Greensboro, NC 27406",-79.7078376,36.0172276,Guilford County Schools,Alamance Elementary,37.7,B,73.2,2
10303,Alamance-Burlington Middle/Early College,Alamance,Graham,"1247 Jimmie Kerr Road, Graham, NC 27253",-79.3575561,36.0667853,Alamance-Burlington Schools,ABSS Early College at ACC,43.8,A,84.2,1
010LEA,Alamance-Burlington Schools,Alamance,Burlington,"1712 Vaughn Road, Burlington, NC 27217",-79.4087567,36.1020902,aanomatch,aanomatch,,,,
840302,Albemarle High,Stanly,Albemarle,"311 Park Ridge Road, Albemarle, NC 28001",-80.192856,35.371967,Stanly County Schools,Albemarle High,66,C,30.5,4
840303,Albemarle Middle,Stanly,Albemarle,"1811 Badin Road, Albemarle, NC 28001",-80.1684118,35.3537524,Stanly County Schools,Albemarle Middle,56.6,C,46.5,3
600300,Albemarle Road Elementary,Mecklenburg,Charlotte,"7800 Riding Trail Rd, Charlotte, NC 28212",-80.729483,35.197161,Charlotte-Mecklenburg Schools,Albemarle Road Elementary,57.7,C,52.2,3
600301,Albemarle Road Middle,Mecklenburg,Charlotte,"6900 Democracy Dr, Charlotte, NC 28212",-80.729263,35.199266,Charlotte-Mecklenburg Schools,Albemarle Road Middle,49.1,D,43.1,3
250304,Albert H Bangert Elementary,Craven,New Bern,"3712 Canterbury Road, New Bern, NC 28562",-77.08364,35.083429,Craven County Schools,Albert H Bangert Elementary,57.7,B,75.1,2
260364,Alderman Road Elementary,Cumberland,Fayetteville,"2860 Alderman Road, Fayetteville, NC 28306",-78.860293,34.8952244,Cumberland County Schools,Alderman Road Elementary,55.8,C,55.7,3
20302,Alexander Central High,Alexander,Taylorsville,"223 School Drive, Taylorsville, NC 28681",-81.1893043,35.9167533,Alexander County Schools,Alexander Central High,38.3,B,52.7,3
020LEA,Alexander County Schools,Alexander,Taylorsville,"700 Liledoun Road, Taylorsville, NC 28681",-81.1894076,35.9131358,aanomatch,aanomatch,,,,
20303,Alexander Early College,Alexander,Taylorsville,"230 Industrial Blvd, Taylorsville, NC 28681",-81.1815586,35.910777,Alexander County Schools,Alexander Early College,27.5,A,87.3,1
600399,Alexander Graham Middle,Mecklenburg,Charlotte,"1800 Runnymede Ln, Charlotte, NC 28211",-80.8329229,35.166814,Charlotte-Mecklenburg Schools,Alexander Graham Middle,27.1,B,71.8,2
10304,Alexander Wilson Elementary,Alamance,Graham,"2518 NC 54, Graham, NC 27253",-79.3466437,36.0298515,Alamance-Burlington Schools,Alexander Wilson Elementary,49.8,C,59.9,3
260374,Alger B. Wilkins High School,Cumberland,Fayetteville,"1429 Skibo Road, Fayetteville, NC 28303",-78.951898,35.082547,aanomatch,aanomatch,,,,
030LEA,Alleghany County Schools,Alleghany,Sparta,"85 Peachtree Street, Sparta, NC 28675",-81.1225595,36.5118416,aanomatch,aanomatch,,,,
30304,Alleghany High,Alleghany,Sparta,"404 Trojan Avenue, Sparta, NC 28675",-81.1228223,36.513866,Alleghany County Schools,Alleghany High,51.9,B,56.5,3
410310,Allen Jay Elementary,Guilford,High Point,"1311 East Springfield Road, High Point, NC 27263",-79.9554544,35.9322724,Guilford County Schools,Allen Jay Elementary,58,D,45.1,3
410311,Allen Jay Middle - A Preparatory Academy,Guilford,High Point,"1201 East Fairfield Rd, High Point, NC 27263",-79.9619333,35.9253078,Guilford County Schools,Allen Jay Middle - A Preparatory Academy,41.4,C,60.1,2
410316,Allen Middle,Guilford,Greensboro,"1108 Glendale Drive, Greensboro, NC 27406",-79.8234499,36.011131,Guilford County Schools,Allen Middle,59.5,D,39.2,4
600308,Allenbrook Elementary,Mecklenburg,Charlotte,"1430 Allenbrook Dr, Charlotte, NC 28208",-80.9151119,35.261705,Charlotte-Mecklenburg Schools,Allenbrook Elementary,73.4,F,30.4,4
260302,Alma O Easom Elementary,Cumberland,Fayetteville,"1610 Westlawn Avenue, Fayetteville, NC 28305",-78.9085351,35.06086,aanomatch,aanomatch,,,,
26B000,Alpha Academy,Cumberland,Fayetteville,"8030 Raeford Road, Fayetteville, NC 28304",-79.066933,35.0340488,Charter Schools,Alpha Academy,49.3,B,66.9,2
920307,Alston Ridge Elementary,Wake,Cary,"11555 Green Level Church Rd., Cary, NC 27519",-78.8995543,35.8593676,Wake County Schools,Alston Ridge Elementary,10.4,B,80.5,1
10308,Altamahaw Ossipee Elem,Alamance,Elon,"2832 N NC 87, Elon, NC 27244",-79.5104138,36.1795464,Alamance-Burlington Schools,Altamahaw-Ossipee Elementary,46.8,C,61.3,2
49B000,American Renaissance School,Iredell,Statesville,"132 East Broad Street, Statesville, NC 28677",-80.8867649,35.7847122,Charter Schools,American Renaissance School,13.9,B,65.4,2
43C000,Anderson Creek Academy,Harnett,Spring Lake,"4940 Ray Road, Spring Lake, NC 28390",-78.9771037,35.2778901,Charter Schools,Anderson Creek Academy,5.6,B,77.8,2
430304,Anderson Creek Primary,Harnett,Bunnlevel,"914 Anderson Creek Sch Rd, Bunnlevel, NC 28323",-78.9174683,35.2817479,aanomatch,aanomatch,,,,
200304,Andrews Elementary,Cherokee,Andrews,"205 Jean Christy Ave., Andrews, NC 28901",-83.8253425,35.1982824,Cherokee County Schools,Andrews Elementary,42.9,C,67.4,2
200308,Andrews High,Cherokee,Andrews,"50 High School Drive, Andrews, NC 28901",-83.824324,35.196091,Cherokee County Schools,Andrews High,60.8,B,67,2
200310,Andrews Middle,Cherokee,Andrews,"2750 Business Hwy 19, Andrews, NC 28901",-83.797199,35.194814,Cherokee County Schools,Andrews Middle,66.8,B,63.8,2
430308,Angier Elementary,Harnett,Angier,"130 E McIver St, Angier, NC 27501",-78.7361073,35.5028926,Harnett County Schools,Angier Elementary,73.5,D,41.9,3
260336,Anne Chesnutt Middle,Cumberland,Fayetteville,"2121 Skibo Road, Fayetteville, NC 28314",-78.9734273,35.0503665,Cumberland County Schools,Anne Chesnutt Middle,63.1,D,39.2,4
40305,Anson Academy,Anson,Wadesboro,"118 N. Ashe Street, Wadesboro, NC 28170",-80.0788573,34.9609371,aanomatch,aanomatch,,,,
40304,Anson Co. Early College High,Anson,Polkton,"177 Ledbetter Street, Polkton, NC 28135",-80.2114155,34.9987204,Anson County Schools,Anson Co. Early College High,33.6,B,56.5,3
040LEA,Anson County Schools,Anson,Wadesboro,"320 Camden Road, Wadesboro, NC 28170",-80.0808571,34.9632751,aanomatch,aanomatch,,,,
40306,Anson High School,Anson,Wadesboro,"96 Anson High School Road, Wadesboro, NC 28170",-80.1037392,34.9768643,Anson County Schools,Anson High School,50.7,D,23.5,4
