code,name,county,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
29A000,Davidson Charter Academy CFA,Davidson,Lexington," 500 Biesecker Rd, Lexington, NC 27295",aaUnknown,aaUnknown,Charter Schools,22.7,D,42.3,3
61X000,Mountain Island Day Community Charter,Mecklenburg,Charlotte,"1209 Little Rock Rd, Charlotte, NC 28214",aaUnknown,aaUnknown,Charter Schools,9.2,C,53.4,3
34Z000,Appalachian Academy at Middle Fork,Forsyth,Walkertown,"3125 Williston Rd, Walkertown, NC 27051",aaUnknown,aaUnknown,Lab Schools,<5,D,25.4,4
51B000,Johnston Charter Academy,Johnston,Clayton,"40 Scholar Dr, Clayton, NC 27520",aaUnknown,aaUnknown,Charter Schools,23.2,C,60.8,2
800406,West Rowan Elementary,Rowan,Cleveland,"480 Mimosa St, Cleveland, NC 27013",aaUnknown,aaUnknown,Rowan-Salisbury Schools,55.4,C,57.5,3
80B000,Essie Mae Kiser Foxx Charter,Rowan,East Spencer,"729 N. Long St. , East Spencer, NC 28144",aaUnknown,aaUnknown,Charter Schools,60,F,9.5,5
50303,Ashe County Early College High,Ashe,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Ashe County Schools,36.7,A,95,1
90376,Bladen Early College,Bladen,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Bladen County Schools,74.5,C,54.5,3
120354,Mountain View Elementary,Burke,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Burke County Schools,82.6,D,44.4,3
160343,Marine Sci. & Tech. Early College HS,Carteret,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Carteret County Public Schools,64.6,A,88.1,1
600593,Villa Heights Elementary,Mecklenburg,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Charlotte-Mecklenburg Schools,64.7,D,43.8,3
600583,Wilson STEM Academy,Mecklenburg,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Charlotte-Mecklenburg Schools,64.7,F,24.3,4
600303,Charlotte East Language Academy,Mecklenburg,Charlotte,aaUnknown,aaUnknown,aaUnknown,Charlotte-Mecklenburg Schools,57,D,41.2,3
93R000,Raleigh Oak Charter,Wake,Raleigh,aaUnknown,aaUnknown,aaUnknown,Charter Schools,5.1,C,56.2,3
93P000,Rolesville Charter Academy,Wake,Rolesville,aaUnknown,aaUnknown,aaUnknown,Charter Schools,22.5,C,64.7,2
41N000,The Experiential School of Greensboro,Guilford,Greensboro,aaUnknown,aaUnknown,aaUnknown,Charter Schools,18.7,D,50,3
53B000,Ascend Leadership Academy Lee County,Lee,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Charter Schools,17.4,D,54.1,3
61W000,East Voyager Academy of Charlotte,Mecklenburg,Charlotte,aaUnknown,aaUnknown,aaUnknown,Charter Schools,17.5,C,58.9,3
390321,Granville Academy,Granville,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Granville County Schools,38.6,D,48.9,3
590326,McDowell Academy for Innovation,McDowell,aaUnknown,aaUnknown,aaUnknown,aaUnknown,McDowell County Schools,54.5,C,50.8,3
640342,CITI High School,Nash maybe,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Nash-Rocky Mount Schools,83.3,F,<5,1
710350,Surf City Elementary,Pender,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Pender County Schools,39.3,B,74.8,2
710352,Surf City Middle,Pender,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Pender County Schools,32.4,B,69.4,2
740501,Innovation Early College High,Pitt,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Pitt County Schools,56.6,A,88.9,1
920561,South Garner High,Wake,Garner,aaUnknown,aaUnknown,aaUnknown,Wake County Schools,58.2,D,37.7,4
920315,Apex Friendship Middle,Wake,Apex,aaUnknown,aaUnknown,aaUnknown,Wake County Schools,13.1,A,84,1
920349,Bryan Road Elementary,Wake,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Wake County Schools,48.8,B,66.9,2
920351,Buckhorn Creek Elementary,Wake,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Wake County Schools,32.5,C,63.8,2
280302,Cape Hatteras Elementary School,Dare,Buxton,"47500 Middle Ridge, Buxton, NC 27920",-75.550493,35.258813,Dare County Schools,65.7,B,70.1,2
280304,Cape Hatteras Secondary School,Dare,Buxton,"48576 Highway 12, Buxton, NC 27920",-75.55224,35.2656064,Dare County Schools,49.4,B,65.1,2
280310,Nags Head Elementary School,Dare,Nags Head,"3100 S Wrightsville Avenue, Nags Head, NC 27959",-75.6386799,35.976068,Dare County Schools,42.2,B,75.7,2
