county,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Alamance,2,18.30,50480,10384,South Mebane Elementary,Mebane,"600 S 3rd Street, Mebane, NC 27302",-79.2752451,36.0888099,Alamance-Burlington Schools,41.20,B,69.00,2.00
Alamance,2,18.30,50480,10320,E M Yoder Elementary,Mebane,"301 N Charles Street, Mebane, NC 27302",-79.275477,36.100586,Alamance-Burlington Schools,40.80,B,64.10,2.00
Alamance,2,18.30,50480,10347,Audrey W. Garrett Elementary,Mebane,"3224 Old Hillsborough Road, Mebane, NC 27302",-79.2968657,36.0616231,Alamance-Burlington Schools,55.90,C,53.60,3.00
Alamance,2,18.30,50480,10353,Hawfields Middle,Mebane,"1951 S NC 119, Mebane, NC 27302",-79.2972038,36.0614763,Alamance-Burlington Schools,53.50,B,68.50,2.00
Alamance,2,18.30,50480,10324,Eastern Alamance High,Mebane,"4040 Mebane Rogers, Mebane, NC 27302",-79.302277,36.1135494,Alamance-Burlington Schools,36.90,C,55.20,3.00
Alamance,2,18.30,50480,10406,Woodlawn Middle,Mebane,"3970 Mebane Rogers Road, Mebane, NC 27302",-79.3038618,36.1152028,Alamance-Burlington Schools,46.30,C,64.10,2.00
Alamance,2,18.30,50480,10372,Pleasant Grove Elementary,Burlington,"2847 Pleasant Grv Sch Road, Burlington, NC 27217",-79.3056019,36.217398,Alamance-Burlington Schools,52.00,D,46.90,3.00
Alamance,2,18.30,50480,01D000,The Hawbridge School,Saxapahaw,"1735 Saxapahaw Bethlehem Church Rd, Saxapahaw, NC 27340",-79.3183385,35.9464853,Charter Schools,8.10,B,73.10,2.00
Alamance,2,18.30,50480,10346,B. Everett Jordan Elementary,Graham,"5827 Church Road, Graham, NC 27253",-79.3267517,35.9397887,Alamance-Burlington Schools,59.60,D,41.60,3.00
Alamance,2,18.30,50480,10304,Alexander Wilson Elementary,Graham,"2518 NC 54, Graham, NC 27253",-79.3466437,36.0298515,Alamance-Burlington Schools,49.80,C,59.90,3.00
