,county,child_abuse_rate,children_conc_pov,elevated_lead,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
0,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10384,South Mebane Elementary,Mebane,"600 S 3rd Street, Mebane, NC 27302",-79.2752451,36.0888099,Alamance-Burlington Schools,41.20,B,69.00,2.0
1,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10320,E M Yoder Elementary,Mebane,"301 N Charles Street, Mebane, NC 27302",-79.275477,36.100586,Alamance-Burlington Schools,40.80,B,64.10,2.0
2,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10347,Audrey W. Garrett Elementary,Mebane,"3224 Old Hillsborough Road, Mebane, NC 27302",-79.2968657,36.0616231,Alamance-Burlington Schools,55.90,C,53.60,3.0
3,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10353,Hawfields Middle,Mebane,"1951 S NC 119, Mebane, NC 27302",-79.2972038,36.0614763,Alamance-Burlington Schools,53.50,B,68.50,2.0
4,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10324,Eastern Alamance High,Mebane,"4040 Mebane Rogers, Mebane, NC 27302",-79.302277,36.1135494,Alamance-Burlington Schools,36.90,C,55.20,3.0
5,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10406,Woodlawn Middle,Mebane,"3970 Mebane Rogers Road, Mebane, NC 27302",-79.3038618,36.1152028,Alamance-Burlington Schools,46.30,C,64.10,2.0
6,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10372,Pleasant Grove Elementary,Burlington,"2847 Pleasant Grv Sch Road, Burlington, NC 27217",-79.3056019,36.217398,Alamance-Burlington Schools,52.00,D,46.90,3.0
7,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,01D000,The Hawbridge School,Saxapahaw,"1735 Saxapahaw Bethlehem Church Rd, Saxapahaw, NC 27340",-79.3183385,35.9464853,Charter Schools,8.10,B,73.10,2.0
8,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10346,B. Everett Jordan Elementary,Graham,"5827 Church Road, Graham, NC 27253",-79.3267517,35.9397887,Alamance-Burlington Schools,59.60,D,41.60,3.0
9,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10304,Alexander Wilson Elementary,Graham,"2518 NC 54, Graham, NC 27253",-79.3466437,36.0298515,Alamance-Burlington Schools,49.80,C,59.90,3.0
10,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10303,ABSS Early College at ACC,Graham,"1247 Jimmie Kerr Road, Graham, NC 27253",-79.3575561,36.0667853,Alamance-Burlington Schools,43.80,A,84.20,1.0
11,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10357,Haw River Elementary,Haw River,"701 E Main Street, Haw River, NC 27258",-79.358827,36.092396,Alamance-Burlington Schools,55.90,D,34.60,4.0
12,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10364,North Graham Elementary,Graham,"1025 Trollinger Road, Graham, NC 27253",-79.3777934,36.0763205,Alamance-Burlington Schools,63.20,D,42.30,3.0
13,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10348,Graham High,Graham,"903 Trollinger Road, Graham, NC 27253",-79.3830719,36.0754477,Alamance-Burlington Schools,70.80,C,35.50,4.0
