county,teen_pregnancies,teen_preg_rate,rank,,,,,,,,,,,
Onslow ,256,50.80,1,,,,,,,,,,,
Vance ,73,48.20,2,,,,,,,,,,,
Scotland ,46,46.20,3,,,,,,,,,,,
Richmond ,61,45.80,4,,,,,,,,,,,
Sampson ,95,45.70,5,,,,,,,,,,,
Duplin ,79,45.30,6,,,,,,,,,,,
Robeson ,216,44.00,7,,,,,,,,,,,
Warren ,21,42.30,8,,,,,,,,,,,
Bladen ,41,42.10,9,,,,,,,,,,,
Edgecombe ,62,39.10,10,,,,,,,,,,,
Wilkes ,77,38.90,11,,,,,,,,,,,
Lenoir ,63,38.80,12,,,,,,,,,,,
Rutherford ,75,38.50,13,,,,,,,,,,,
Wayne ,145,38.10,14,,,,,,,,,,,
Columbus ,64,37.30,15,,,,,,,,,,,
Halifax ,56,37.00,16,,,,,,,,,,,
Wilson ,100,36.50,17,,,,,,,,,,,
Cumberland ,379,35.50,18,,,,,,,,,,,
Yadkin ,38,35.20,19,,,,,,,,,,,
Cleveland ,108,34.50,20,,,,,,,,,,,
Person ,38,34.20,21,,,,,,,,,,,
Cherokee ,22,33.80,22,,,,,,,,,,,
Hoke ,53,33.40,23,,,,,,,,,,,
Lee ,61,33.00,24,,,,,,,,,,,
Mcdowell ,39,31.50,25,,,,,,,,,,,
Madison ,22,31.10,26,,,,,,,,,,,
Surry ,66,30.80,27,,,,,,,,,,,
Alexander ,32,30.70,28,,,,,,,,,,,
Anson ,21,29.90,29,,,,,,,,,,,
Craven ,86,29.70,30,,,,,,,,,,,
Brunswick ,80,29.10,31,,,,,,,,,,,
Nash ,83,28.40,32,,,,,,,,,,,
Granville ,47,28.30,33,,,,,,,,,,,
Beaufort ,38,27.70,34,,,,,,,,,,,
Macon ,24,27.30,35,,,,,,,,,,,
Rowan ,118,27.20,36,,,,,,,,,,,
Mecklenburg ,947,26.90,37,,,,,,,,,,,
Burke ,61,26.60,38,,,,,,,,,,,
Stanly ,47,26.10,39,,,,,,,,,,,
Gaston ,174,25.90,40,,,,,,,,,,,
Harnett ,117,25.70,41,,,,,,,,,,,
Davidson ,128,25.20,42,,,,,,,,,,,
Randolph ,112,25.10,43,,,,,,,,,,,
Durham ,259,24.90,44,,,,,,,,,,,
Forsyth ,337,24.50,45,,,,,,,,,,,
Lincoln ,57,24.00,46,,,,,,,,,,,
Buncombe ,161,23.80,47,,,,,,,,,,,
Moore ,62,23.80,47,,,,,,,,,,,
Caldwell ,55,23.70,49,,,,,,,,,,,
Rockingham ,60,23.40,50,,,,,,,,,,,
Henderson ,70,23.20,51,,,,,,,,,,,
Stokes ,28,22.80,52,,,,,,,,,,,
Pitt ,174,22.10,53,,,,,,,,,,,
Catawba ,109,21.80,54,,,,,,,,500,10000,10,
Haywood ,32,21.80,54,,,,,,,,,,,
Pasquotank ,27,21.70,56,,,,,,,,1244.239631,#REF!,,
Johnston ,142,21.30,57,,,,,,,,,,,
Pender ,38,21.20,58,,,,,,,,,4,2000,2
Alamance ,141,21.10,59,,,,,,,,,,,
Guilford ,432,20.60,60,,,,,,,,,,,
Davie ,27,20.50,61,,,,,,,,,,,
Franklin ,41,19.60,62,,,,,,,,,,,
Iredell ,110,19.30,63,,,,,,,,,,,
Cabarrus ,131,18.20,64,,,,,,,,,,,
Jackson ,33,15.80,65,,,,,,,,,,,
Carteret ,27,15.70,66,,,,,,,,,,,
Wake ,576,15.40,67,,,,,,,,,,,
Chatham ,30,15.00,68,,,,,,,,,,,
New Hanover ,120,14.80,69,,,,,,,,,,,
Union ,119,12.10,70,,,,,,,,,,,
Orange ,43,6.20,71,,,,,,,,,,,
Alleghany ,9,26.88,sm_sample,,,,,,,,,,,
Ashe ,11,13.53,sm_sample,,,,,,,,,,,
Avery ,11,20.95,sm_sample,,,,,,,,,,,
Bertie ,9,15.77,sm_sample,,,,,,,,,,,
Camden ,2,6.22,sm_sample,,,,,,,,,,,
Caswell ,18,26.43,sm_sample,,,,,,,,,,,
Chowan ,9,21.38,sm_sample,,,,,,,,,,,
Clay ,7,20.95,sm_sample,,,,,,,,,,,
Currituck ,4,4.93,sm_sample,,,,,,,,,,,
Dare ,14,12.79,sm_sample,,,,,,,,,,,
Gates ,6,17.28,sm_sample,,,,,,,,,,,
Graham ,8,31.43,sm_sample,,,,,,,,,,,
Greene ,18,28.56,sm_sample,,,,,,,,,,,
Hertford ,14,19.72,sm_sample,,,,,,,,,,,
Hyde ,1,6.37,sm_sample,,,,,,,,,,,
Jones ,6,20.75,sm_sample,,,,,,,,,,,
Martin ,19,27.94,sm_sample,,,,,,,,,,,
Mitchell ,12,26.67,sm_sample,,,,,,,,,,,
Montgomery ,18,22.00,sm_sample,,,,,,,,,,,
Northampton ,13,22.02,sm_sample,,,,,,,,,,,
Pamlico ,9,23.68,sm_sample,,,,,,,,,,,
Perquimans ,8,19.87,sm_sample,,,,,,,,,,,
Polk ,7,11.32,sm_sample,,,,,,,,,,,
Swain ,15,35.10,sm_sample,,,,,,,,,,,
Transylvania ,16,15.59,sm_sample,,,,,,,,,,,
Tyrrell ,4,32.28,sm_sample,,,,,,,,,,,
Washington ,15,42.16,sm_sample,,,,,,,,,,,
Watauga ,19,11.32,sm_sample,,,,,,,,,,,
Yancey ,14,26.07,sm_sample,,,,,,,,,,,
