code,name,city,full_address,long,lat,district,county,SPgrade,EOG_18_19,EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,elevated_lead,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
50303,Ashe County Early College High,West Jefferson,"363 Campus Drive, West Jefferson, NC 28694",-81.4762141,36.394232,Ashe County Schools,Ashe,A,95,1,36.7,5.2,0,1.1,12.3,12.5,5.5,7.1,2,23.3,41864
90376,Bladen Early College,Dublin,"7418 NC Hwy 41 W, Dublin, NC 28332",-78.732331,34.645009,Bladen County Schools,Bladen,C,54.5,3,74.5,2.4,16.2,0.9,7.1,19.1,15.8,44.7,1,41.8,36976
120354,Mountain View Elementary,Morganton,"805 Bouchelle St, Morganton, NC 28655",-81.7015061,35.7538794,Burke County Schools,Burke,D,44.4,3,82.6,2.7,0,0.9,23.2,17,12.5,17.6,2,19.9,44946
160343,Marine Sci. & Tech. Early College HS,Morehead City,"3505 Arendell Street, Morehead City, NC 28557",-76.7577936,34.724114,Carteret County Public Schools,Carteret,A,88.1,1,64.6,7.6,2.6,0.6,13.3,6.2,7.4,12.3,2,15.5,55052
29A000,Davidson Charter Academy CFA,Lexington,"500 Biesecker Rd, Lexington, NC 27295",-80.2690538,35.8457638,Charter Schools,Davidson,D,42.3,3,22.7,3.3,12.3,1,17.6,15.1,8.7,19.3,2,20,47758
34Z000,Appalachian Academy at Middle Fork,Walkertown,"3125 Williston Rd, Walkertown, NC 27051",-80.1683575,36.1412787,Lab Schools,Forsyth,D,25.4,4,<5,1.1,27.9,1.5,23.3,9.8,9.5,42.7,2,23,50112
390321,Granville Academy,Oxford,"200 Taylor Street, Oxford, NC 27565",-78.5862227,36.3165557,Granville County Schools,Granville,D,48.9,3,38.6,4,13,1.3,6.7,11.9,10.2,41.4,2,18.4,58956
41N000,The Experiential School of Greensboro,Greensboro,"301 S Church St, Greensboro, NC 27401",-79.786686,36.0706149,Charter Schools,Guilford,D,50,3,18.7,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
51B000,Johnston Charter Academy,Clayton,"40 Scholar Dr, Clayton, NC 27520",-78.4941639,35.6602353,Charter Schools,Johnston,C,60.8,2,23.2,1.4,2.6,1,9,11,7.3,31.8,3,15.4,60296
53B000,Ascend Leadership Academy Lee County,Sanford,"226-268, Harvey Faulk Rd, Sanford, NC 27332",-79.1265224,35.4346998,Charter Schools,Lee,D,54.1,3,17.4,1.6,14.1,1.5,28.9,14.3,5.7,41.3,2,22.2,48984
590326,McDowell Academy for Innovation,Marion,"172 Lukin St, Marion, NC 28752",-82.0277292,35.6591132,McDowell County Schools,McDowell,C,50.8,3,54.5,6.4,0,2.3,14.9,13.9,8.9,11.8,2,20.1,43972
61X000,Mountain Island Day Community Charter,Charlotte,"1209 Little Rock Rd, Charlotte, NC 28214",-80.9396303,35.2622679,Charter Schools,Mecklenburg,C,53.4,3,9.2,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
600593,Villa Heights Elementary,Charlotte,"800 Everett Pl, Charlotte, NC 28205",-80.8127771,35.2366984,Charlotte-Mecklenburg Schools,Mecklenburg,D,43.8,3,64.7,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
600583,Wilson STEM Academy,Charlotte,"7020 Tuckaseegee Rd, Charlotte, NC 28214",-80.945733,35.249473,Charlotte-Mecklenburg Schools,Mecklenburg,F,24.3,4,64.7,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
600303,Charlotte East Language Academy,Charlotte," 6108 Wilora Lake Rd, Charlotte, NC 28212",-80.746881,35.208697,Charlotte-Mecklenburg Schools,Mecklenburg,D,41.2,3,57,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
61W000,East Voyager Academy of Charlotte,Charlotte," 7429 Tuckaseegee Rd, Charlotte, NC 28214",-80.9527815,35.2439247,Charter Schools,Mecklenburg,C,58.9,3,17.5,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
640342,CITI High School,Rocky Mount,"846 Hammond St, Rocky Mount, NC 27804",-77.8073968,35.9410455,Nash-Rocky Mount Schools,Nash,F,<5,1,83.3,4.8,0,2,13.8,11.2,7.6,50,1,20.7,50122
710350,Surf City Elementary,Hampstead,"12345-A Literacy Ln, Hampstead, NC 28443",-77.575036,34.4618621,Pender County Schools,Pender,B,74.8,2,39.3,3,0,1.5,14.3,9.7,6.7,23.9,3,20.8,54900
710352,Surf City Middle,Hampstead,"12345-B Literacy Ln, Hampstead, NC 28444",-77.575036,34.4618621,Pender County Schools,Pender,B,69.4,2,32.4,3,0,1.5,14.3,9.7,6.7,23.9,3,20.8,54900
740501,Innovation Early College High,Greenville,"E 10th St, Greenville, NC 27858",-77.3339075,35.5999181,Pitt County Schools,Pitt,A,88.9,1,56.6,5.2,29.2,0.8,23.3,8.9,5.8,44.9,1,25.6,43303
800406,West Rowan Elementary,Cleveland,"480 Mimosa St, Cleveland, NC 27013",-80.6776649,35.7275785,Rowan-Salisbury Schools,Rowan,C,57.5,3,55.4,3.3,6.7,1.7,14.3,13.8,10.1,27.4,2,24,46864
80B000,Essie Mae Kiser Foxx Charter,East Spencer,"729 N. Long St , East Spencer, NC 28144",-80.4243501,35.688004,Charter Schools,Rowan,F,9.5,5,60,3.3,6.7,1.7,14.3,13.8,10.1,27.4,2,24,46864
93R000,Raleigh Oak Charter,Raleigh,"9400 Forum Dr, Raleigh, NC 27615",-78.6536144,35.8979165,Charter Schools,Wake,C,56.2,3,5.1,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
93P000,Rolesville Charter Academy,Rolesville,"908 Eagle Scholars Drive, Rolesville, NC 27571",-78.4797993,35.9088556,Charter Schools,Wake,C,64.7,2,22.5,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
920561,South Garner High,Garner,"8228 Hebron Church Rd, Garner, NC 27529",-78.5796774,35.6550224,Wake County Schools,Wake,D,37.7,4,58.2,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
920315,Apex Friendship Middle,Apex,"7701 Humie Olive Rd, Apex, NC 27502",-78.9064908,35.7009083,Wake County Schools,Wake,A,84,1,13.1,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
920349,Bryan Road Elementary,Garner,"8317 Bryan Rd, Garner, NC 27529",-78.5909023,35.6655949,Wake County Schools,Wake,B,66.9,2,48.8,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
920351,Buckhorn Creek Elementary,Holly Springs,"5651 Honeycutt Rd, Holly Springs, NC 27540",-78.844347,35.617249,Wake County Schools,Wake,C,63.8,2,32.5,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
