District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
Beaufort County Schools,070311,Beaufort Co Early College High,09-13,53.1,A,>95,,,
Brunswick County Schools,100307,Brunswick County Early College,09-13,46.8,A,>95,,,
Buncombe County Schools,110500,Nesbitt Discovery Academy,09-12,22.0,A,>95,,,
Catawba County Schools,180325,Challenger Early College High,09-12,37.0,A,>95,,,
Cumberland County Schools,260354,Cross Creek Early College,09-12,61.4,A,>95,,,
Cumberland County Schools,260700,Cumberland Polytechnic,09-12,51.0,A,>95,,,
Durham Public Schools,320309,J D Clement Early College HS,09-12,53.6,A,>95,,,
Gaston County Schools,360337,Gaston Early College High School,09-13,36.4,A,>95,,,
Gaston County Schools,360418,Highland Sch of Technology,09-12,24.7,A,>95,,,
Guilford County Schools,410341,Brown Summit Middle,06-08,16.9,A,>95,,,
Guilford County Schools,410395,Early College at Guilford,09-12,6.0,A,>95,,,
Guilford County Schools,410569,STEM Early College @ NC A&T SU,09-12,28.3,A,>95,,,
Haywood County Schools,440346,Haywood Early College,09-13,45.1,A,>95,,,
Henderson County Schools,450354,Henderson County Early College,09-13,44.6,A,>95,,,
Iredell-Statesville Schools,490320,Collaborative College for Technology,09-13,25.0,A,>95,,,
Iredell-Statesville Schools,490344,Mount Mourne School,06-08,<5,A,>95,,,
Macon County Schools,560329,Macon Early College High School,09-13,30.1,A,>95,,,
Montgomery County Schools,620350,Montgomery County Early College,09-12,48.9,A,>95,,,
Onslow County Schools,670300,Onslow Early College,09-10,31.7,A,>95,,,
Pender County Schools,710327,Pender Early College High,09-13,49.3,A,>95,,,
Randolph County Schools,760354,Randolph Early College High,09-13,37.2,A,>95,,,
Richmond County Schools,770349,Richmond Early College High,09-13,66.2,A,>95,,,
Robeson County Schools,780385,PSRC Early College at RCC,09-13,62.0,A,>95,,,
Rutherford County Schools,810385,Rutherford Early College High School,09-13,17.5,A,>95,,,
Scotland County Schools,830348,Scotland Early College High,09-13,46.6,A,>95,,,
Wake County Schools,920583,Wake Early College of Health and Science,09-13,28.3,A,>95,,,
Wilkes County Schools,970393,Wilkes Early College High School,09-13,27.9,A,>95,,,
Charter Schools,60F000,Metrolina Reg Scholars Academy,0K-08,<5,A,>95,,,
Charter Schools,92K000,Raleigh Charter High School,09-12,<5,A,>95,,,
Charter Schools,92N000,Quest Academy,0K-08,<5,A,>95,,,
Charter Schools,06A000,Grandfather Academy,01-12,50.0,F,<5,,,
