id,EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,parent,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
1,1,4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
2,1,4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
3,1,4,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
4,1,4,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
5,1,66.2,0.5,26.6,2.4,31.8,17.9,14.7,42.4,1,29.1,38514
6,1,62,9.9,39.3,1.4,19.1,19.8,19.3,74.2,1,34.7,35407
7,1,61.4,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
8,1,53.6,2,20.5,0.9,9.9,11.5,8.6,56.6,3,18.9,59329
9,1,53.1,5,0,1.8,29.2,11.8,12,33.8,1,26.2,46411
10,1,51,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
11,1,49.3,3,0,1.5,14.3,9.7,6.7,23.9,3,20.8,54900
12,1,48.9,4.2,22.9,2,8.6,20.7,11,36.3,2,24.1,47757
13,1,46.8,4.6,8.9,0.5,14.4,7.8,10.3,17,3,19,60163
14,1,46.6,8.3,29.6,1.1,31.7,17.2,20.7,55.8,1,38.4,36730
15,1,45.1,7.8,0,1.5,15.2,11.8,13.8,6.7,3,20.1,47183
16,1,44.6,7.8,4.1,1,13.1,8.2,5.6,15.9,3,15,54012
17,1,37.2,3.3,3.5,1.4,13.7,17.5,9.9,20.3,2,19.1,48372
18,1,37,2.6,5.3,1.1,15.1,14.3,7.1,23.7,2,18.7,53738
19,1,36.4,2.7,6.2,1.3,14.3,12.6,10.7,27,2,16.6,52798
20,1,31.7,5.5,1.8,1.1,13.7,5.9,8.6,32.3,1,21.3,50531
21,1,30.1,5.9,14,0.4,22.3,11,11.1,10.4,2,26.5,46426
22,1,28.3,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
23,1,28.3,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
24,1,27.9,6.5,8.9,2.5,30.6,17.2,6.8,12.4,1,26.5,44080
25,1,25,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
26,1,24.7,2.7,6.2,1.3,14.3,12.6,10.7,27,2,16.6,52798
27,1,22,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
28,1,17.5,12.5,11.4,2,16.6,13.3,11.6,16,1,25.9,42831
29,1,16.9,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
30,1,6,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
31,1,83.3,4.8,0,2,13.8,11.2,7.6,50,1,20.7,50122
32,1,50,4.1,0,0.7,45.9,16.5,15.4,10.9,2,24.4,41701
33,1,40.8,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
34,1,54.4,0.1,21.4,1.3,16.3,18.6,7.1,49,1,33.1,42807
35,1,36.7,5.2,0,1.1,12.3,12.5,5.5,7.1,2,23.3,41864
36,1,35.4,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
37,1,15,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
38,1,4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
39,1,35.7,4,13,1.3,6.7,11.9,10.2,41.4,2,18.4,58956
40,1,6,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
41,1,25.6,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
42,1,35.6,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
43,1,28.2,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
44,1,18.5,3,0,2.6,22.8,10.2,2.8,11.5,3,12.4,64426
45,1,23.8,3.3,12.3,1,17.6,15.1,8.7,19.3,2,20,47758
46,1,4,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
47,1,32.2,2.8,7.1,0.5,19.1,17.2,7.6,11.9,1,20.3,43328
48,1,38,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
49,1,4,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
50,1,4,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
51,1,4,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
52,1,15.8,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
53,1,4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
54,1,4,0.9,11.2,0.4,14.2,12.3,5.7,27.3,3,13.1,73703
