EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,elevated_lead,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
4,96.00,4.20,21.20,1.70,13.70,13.50,11.30,50.30,1,37.20,40433
4,96.00,6.30,18.90,1.30,11.50,6.30,8.30,21.60,3,20.00,53419
3,96.00,2.00,20.50,0.90,9.90,11.50,8.60,56.60,3,18.90,59329
4,96.00,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,4.00,1.10,27.90,1.50,23.30,9.80,9.50,42.70,2,23.00,50112
1,4.00,3.00,0.00,2.60,22.80,10.20,2.80,11.50,3,12.40,64426
1,4.00,2.20,22.50,1.90,18.40,16.70,12.70,52.50,1,29.60,44015
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
3,4.00,0.80,11.80,1.00,4.80,12.60,9.20,35.70,2,18.70,57710
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
2,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
3,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
2,4.00,2.00,20.50,0.90,9.90,11.50,8.60,56.60,3,18.90,59329
1,4.00,1.80,3.10,1.20,6.70,5.90,4.00,39.10,3,9.70,80169
2,4.00,0.90,11.20,0.40,14.20,12.30,5.70,27.30,3,13.10,73703
1,4.00,0.70,5.30,1.30,7.80,5.90,3.30,29.40,3,9.20,71920
1,4.00,0.90,11.20,0.40,14.20,12.30,5.70,27.30,3,13.10,73703
1,4.00,0.70,5.30,1.30,7.80,5.90,3.30,29.40,3,9.20,71920
1,4.00,1.10,27.90,1.50,23.30,9.80,9.50,42.70,2,23.00,50112
1,4.00,7.00,0.00,1.80,15.00,13.80,4.00,18.60,2,18.60,51491
1,4.00,0.80,1.70,1.10,17.30,7.90,3.60,27.40,3,8.30,80428
1,4.00,0.80,1.70,1.10,17.30,7.90,3.60,27.40,3,8.30,80428
1,4.00,0.80,1.70,1.10,17.30,7.90,3.60,27.40,3,8.30,80428
2,4.00,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
2,4.00,0.80,1.70,1.10,17.30,7.90,3.60,27.40,3,8.30,80428
1,4.00,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
1,4.00,0.80,1.70,1.10,17.30,7.90,3.60,27.40,3,8.30,80428
1,4.00,0.80,1.70,1.10,17.30,7.90,3.60,27.40,3,8.30,80428
1,4.00,0.80,1.70,1.10,17.30,7.90,3.60,27.40,3,8.30,80428
1,4.00,0.80,1.70,1.10,17.30,7.90,3.60,27.40,3,8.30,80428
1,4.00,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
1,4.00,5.80,7.10,0.80,24.80,8.80,6.00,23.30,3,13.00,60044
1,4.00,5.80,7.10,0.80,24.80,8.80,6.00,23.30,3,13.00,60044
1,4.00,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
1,4.00,2.20,12.90,0.80,17.50,8.60,4.90,52.70,3,16.40,64509
3,4.00,2.70,6.20,1.30,14.30,12.60,10.70,27.00,2,16.60,52798
5,94.80,2.10,33.20,1.20,10.40,13.80,11.00,46.00,1,29.40,41572
4,93.70,4.20,21.20,1.70,13.70,13.50,11.30,50.30,1,37.20,40433
4,93.20,8.30,29.60,1.10,31.70,17.20,20.70,55.80,1,38.40,36730
3,92.20,3.00,0.00,1.50,14.30,9.70,6.70,23.90,3,20.80,54900
3,92.10,0.50,26.60,2.40,31.80,17.90,14.70,42.40,1,29.10,38514
4,91.90,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,91.90,2.70,0.00,0.90,23.20,17.00,12.50,17.60,2,19.90,44946
3,91.70,0.90,11.20,0.40,14.20,12.30,5.70,27.30,3,13.10,73703
4,91.60,4.20,21.20,1.70,13.70,13.50,11.30,50.30,1,37.20,40433
4,91.50,6.30,18.90,1.30,11.50,6.30,8.30,21.60,3,20.00,53419
4,91.40,2.10,33.20,1.20,10.40,13.80,11.00,46.00,1,29.40,41572
3,91.40,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
4,91.30,4.20,21.20,1.70,13.70,13.50,11.30,50.30,1,37.20,40433
3,91.30,6.90,17.80,1.60,20.50,15.00,20.30,40.10,1,34.00,36862
4,90.80,5.20,29.20,0.80,23.30,8.90,5.80,44.90,1,25.60,43303
3,90.70,3.00,0.00,1.50,14.30,9.70,6.70,23.90,3,20.80,54900
3,90.60,3.00,0.00,1.50,14.30,9.70,6.70,23.90,3,20.80,54900
5,90.60,2.10,33.20,1.20,10.40,13.80,11.00,46.00,1,29.40,41572
3,90.40,6.30,18.90,1.30,11.50,6.30,8.30,21.60,3,20.00,53419
3,90.40,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,90.20,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
3,90.10,4.20,22.90,2.00,8.60,20.70,11.00,36.30,2,24.10,47757
4,90.00,3.00,8.80,1.30,20.70,6.60,10.50,56.00,1,22.20,46779
3,89.80,3.00,0.00,1.50,14.30,9.70,6.70,23.90,3,20.80,54900
4,89.30,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,89.10,2.10,33.20,1.20,10.40,13.80,11.00,46.00,1,29.40,41572
3,89.10,0.50,26.60,2.40,31.80,17.90,14.70,42.40,1,29.10,38514
4,88.70,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,88.50,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,88.50,3.30,3.50,1.40,13.70,17.50,9.90,20.30,2,19.10,48372
3,88.40,3.30,3.50,1.40,13.70,17.50,9.90,20.30,2,19.10,48372
