EOG_quintile,percent_EDS,parent_unemployed,county_poc,median_inc_county
4,96,11.3,50.3,40433
4,96,8.3,21.6,53419
3,96,8.6,56.6,59329
4,96,19.3,74.2,35407
4,4,9.5,42.7,50112
1,4,2.8,11.5,64426
1,4,12.7,52.5,44015
1,4,4,39.1,80169
3,4,9.2,35.7,57710
1,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
2,4,4,39.1,80169
3,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
1,4,4,39.1,80169
2,4,8.6,56.6,59329
1,4,4,39.1,80169
2,4,5.7,27.3,73703
1,4,3.3,29.4,71920
1,4,5.7,27.3,73703
1,4,3.3,29.4,71920
1,4,9.5,42.7,50112
1,4,4,18.6,51491
1,4,3.6,27.4,80428
1,4,3.6,27.4,80428
1,4,3.6,27.4,80428
2,4,4.9,52.7,64509
2,4,3.6,27.4,80428
1,4,4.9,52.7,64509
1,4,3.6,27.4,80428
1,4,3.6,27.4,80428
1,4,3.6,27.4,80428
1,4,3.6,27.4,80428
1,4,4.9,52.7,64509
1,4,6,23.3,60044
1,4,6,23.3,60044
1,4,4.9,52.7,64509
1,4,4.9,52.7,64509
3,4,10.7,27,52798
5,94.8,11,46,41572
4,93.7,11.3,50.3,40433
4,93.2,20.7,55.8,36730
3,92.2,6.7,23.9,54900
3,92.1,14.7,42.4,38514
4,91.9,19.3,74.2,35407
3,91.9,12.5,17.6,44946
3,91.7,5.7,27.3,73703
4,91.6,11.3,50.3,40433
4,91.5,8.3,21.6,53419
4,91.4,11,46,41572
3,91.4,10.5,56,46779
4,91.3,11.3,50.3,40433
3,91.3,20.3,40.1,36862
4,90.8,5.8,44.9,43303
3,90.7,6.7,23.9,54900
3,90.6,6.7,23.9,54900
5,90.6,11,46,41572
3,90.4,8.3,21.6,53419
3,90.4,19.3,74.2,35407
4,90.2,10.5,56,46779
3,90.1,11,36.3,47757
4,90,10.5,56,46779
3,89.8,6.7,23.9,54900
4,89.3,19.3,74.2,35407
4,89.1,11,46,41572
3,89.1,14.7,42.4,38514
4,88.7,19.3,74.2,35407
4,88.5,19.3,74.2,35407
3,88.5,9.9,20.3,48372
3,88.4,9.9,20.3,48372
3,88.3,6.7,23.9,54900
4,87.9,19.3,74.2,35407
4,87.9,6,23.3,60044
4,87.8,9.5,42.7,50112
4,87.6,7.6,33.1,50748
3,87.5,19.3,74.2,35407
3,87.2,5.7,27.3,73703
3,87,19.3,74.2,35407
4,86.3,10.2,41.4,58956
2,86.2,9.9,20.3,48372
4,86,11.3,50.3,40433
5,85.9,7.6,50,50122
3,85.9,19.3,74.2,35407
4,85.9,8,49.3,52166
3,85.8,20.3,40.1,36862
3,85.6,8.6,56.6,59329
3,85.5,8.3,21.6,53419
4,85.4,11,46,41572
2,85.3,5.7,27.3,73703
3,85.2,9.2,35.7,57710
3,85.2,15.8,44.7,36976
4,85.2,19.3,74.2,35407
4,85.1,8.6,35.8,50480
4,85,14.3,48.2,42725
4,85,19.3,74.2,35407
2,85,14.7,42.4,38514
3,85,14.7,42.4,38514
4,84.8,7.6,50,50122
3,84.7,10.3,17,60163
3,84.6,20.3,40.1,36862
3,84.6,19.3,74.2,35407
