County,Pov_school_age_county,median_inc_county
Alamance County,18.3,50480
Alexander County,18.8,49138
Alleghany County,29.2,39735
Anson County,29.2,38023
Ashe County,23.3,41864
Avery County,24.4,41701
Beaufort County,26.2,46411
Bertie County,30.4,35433
Bladen County,41.8,36976
Brunswick County,19,60163
Buncombe County,16.6,53960
Burke County,19.9,44946
Cabarrus County,10.9,69297
Caldwell County,20.3,43328
Camden County,9,65955
Carteret County,15.5,55052
Caswell County,26.5,45517
Catawba County,18.7,53738
Chatham County,13.1,73703
Cherokee County,25.8,41262
Chowan County,28.2,42618
Clay County,20.5,42878
Cleveland County,27.1,42728
Columbus County,34,36862
Craven County,22.5,50748
Cumberland County,22.2,46779
Currituck County,12.4,64426
Dare County,12.9,64768
Davidson County,20,47758
Davie County,13.5,60801
Duplin County,27.3,42725
Durham County,18.9,59329
Edgecombe County,34,38818
Forsyth County,23,50112
Franklin County,18.7,57710
Gaston County,16.6,52798
Gates County,19.5,51746
Graham County,24.3,39502
Granville County,18.4,58956
Greene County,32,43591
Guilford County,22.1,52166
Halifax County,31.3,36760
Harnett County,20.5,51225
Haywood County,20.1,47183
Henderson County,15,54012
Hertford County,30.6,38216
Hoke County,24.8,47892
Hyde County,30.6,40653
Iredell County,13,60044
Jackson County,20.4,44502
Johnston County,15.4,60296
Jones County,28.8,43302
Lee County,22.2,48984
Lenoir County,37.2,40433
Lincoln County,13.5,62963
McDowell County,20.1,43972
Macon County,26.5,46426
Madison County,22.4,44693
Martin County,30.2,43569
Mecklenburg County,16.4,64509
Mitchell County,23.2,43967
Montgomery County,24.1,47757
Moore County,14.1,59471
Nash County,20.7,50122
New Hanover County,20,53419
Northampton County,34.7,37233
Onslow County,21.3,50531
Orange County,9.2,71920
Pamlico County,28.1,46447
Pasquotank County,28.9,46355
Pender County,20.8,54900
Perquimans County,26.5,48337
Person County,22.6,50149
Pitt County,25.6,43303
Polk County,18.6,50467
Randolph County,19.1,48372
Richmond County,29.1,38514
Robeson County,34.7,35407
Rockingham County,24.2,41869
Rowan County,24,46864
Rutherford County,25.9,42831
Sampson County,33.1,42807
Scotland County,38.4,36730
Stanly County,18.6,51491
Stokes County,16.6,50826
Surry County,22.6,46342
Swain County,22.7,43121
Transylvania County,21.3,51398
Tyrrell County,36.6,36765
Union County,8.3,80428
Vance County,32.9,40263
Wake County,9.7,80169
Warren County,29.7,38430
Washington County,38.7,36042
Watauga County,14.2,48489
Wayne County,29.4,41572
Wilkes County,26.5,44080
Wilson County,29.6,44015
Yadkin County,20.2,49070
Yancey County,23.3,44756
