id,code,name,city,full_address,long,lat,district,county,SPgrade,EOG_18_19,EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,parent,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
1,92K000,Raleigh Charter High School,Raleigh,"1307 Glenwood Avenue, Raleigh, NC 27605",-78.6472013,35.7959926,Charter Schools,Wake,A,96,1,4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
2,92N000,Quest Academy,Raleigh,"10908 Strickland Road, Raleigh, NC 27615",-78.6780553,35.9023195,Charter Schools,Wake,A,96,1,4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
3,490344,Mount Mourne School,Mooresville,"1431 Mecklenburg Hwy, Mooresville, NC 28115",-80.84459,35.546646,Iredell-Statesville Schools,Iredell,A,96,1,4,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
4,60F000,Metrolina Reg Scholars Academy,Charlotte,"5225 Seventy-seven Center Dr, Charlotte, NC 28217",-80.8859437,35.168679,Charter Schools,Mecklenburg,A,96,1,4,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
5,770349,Richmond Early College High,Hamlet,"1042 W Hamlet Ave, Hamlet, NC 28345",-79.7101011,34.9032115,Richmond County Schools,Richmond,A,96,1,66.2,0.5,26.6,2.4,31.8,17.9,14.7,42.4,1,29.1,38514
6,780385,PSRC Early College at RCC,Lumberton,"5160 Fayetteville Road, Lumberton, NC 28360",-79.006439,34.677103,Robeson County Schools,Robeson,A,96,1,62,9.9,39.3,1.4,19.1,19.8,19.3,74.2,1,34.7,35407
7,260354,Cross Creek Early College,Fayetteville,"1200 Murchison Road, Fayetteville, NC 28301",-78.8925902,35.0756898,Cumberland County Schools,Cumberland,A,96,1,61.4,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
8,320309,J D Clement Early College HS,Durham,"1801 Fayetteville Street, NCCU-Robinson Science Building, Durham, NC 27707",-78.899654,35.9752487,Durham Public Schools,Durham,A,96,1,53.6,2,20.5,0.9,9.9,11.5,8.6,56.6,3,18.9,59329
9,70311,Beaufort Co Early College High,Washington,"5337 Hwy 264 East, Washington, NC 27889",-76.9652678,35.5337105,Beaufort County Schools,Beaufort,A,96,1,53.1,5,0,1.8,29.2,11.8,12,33.8,1,26.2,46411
10,260700,Cumberland Polytechnic,Fayetteville,"2201 Hull Rd, Fayetteville, NC 28303",-78.9258784,35.0666422,Cumberland County Schools,Cumberland,A,96,1,51,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
11,710327,Pender Early College High,Burgaw,"100 East Industrial Drive, Burgaw, NC 28425",-77.9227714,34.5436516,Pender County Schools,Pender,A,96,1,49.3,3,0,1.5,14.3,9.7,6.7,23.9,3,20.8,54900
12,620350,Montgomery County Early College,Troy,"1011 Page St, Troy, NC 27371",-79.869833,35.3668306,Montgomery County Schools,Montgomery,A,96,1,48.9,4.2,22.9,2,8.6,20.7,11,36.3,2,24.1,47757
13,100307,Brunswick County Early College,Bolivia,"50 College Road NE, Bolivia, NC 28422",-78.2290128,34.038474,Brunswick County Schools,Brunswick,A,96,1,46.8,4.6,8.9,0.5,14.4,7.8,10.3,17,3,19,60163
14,830348,Scotland Early College High,Laurinburg,"1700 Dogwood Mile, Laurinburg, NC 28352",-79.4797726,34.7447182,Scotland County Schools,Scotland,A,96,1,46.6,8.3,29.6,1.1,31.7,17.2,20.7,55.8,1,38.4,36730
15,440346,Haywood Early College,Clyde,"185 Freedlander Drive, Clyde, NC 28721",-82.9278864,35.5259088,Haywood County Schools,Haywood,A,96,1,45.1,7.8,0,1.5,15.2,11.8,13.8,6.7,3,20.1,47183
16,450354,Henderson County Early College,Flat Rock,"300 East Campus Way, Flat Rock, NC 28731",-82.419705,35.3065189,Henderson County Schools,Henderson,A,96,1,44.6,7.8,4.1,1,13.1,8.2,5.6,15.9,3,15,54012
17,760354,Randolph Early College High,Asheboro,"629 Industrial Park Avenue, Asheboro, NC 27205",-79.825516,35.6733597,Randolph County Schools,Randolph,A,96,1,37.2,3.3,3.5,1.4,13.7,17.5,9.9,20.3,2,19.1,48372
18,180325,Challenger Early College High,Hickory,"2550 Hwy 70 SE, Hickory, NC 28602",-81.2879271,35.6998273,Catawba County Schools,Catawba,A,96,1,37,2.6,5.3,1.1,15.1,14.3,7.1,23.7,2,18.7,53738
19,360337,Gaston Early College High School,Dallas,"Gaston College Lena Sue Beam Bldg, 201 Hwy 321 South, Dallas, NC 28034",-81.1911586,35.3096148,Gaston County Schools,Gaston,A,96,1,36.4,2.7,6.2,1.3,14.3,12.6,10.7,27,2,16.6,52798
20,670300,Onslow Early College,Jacksonville,"444 Western Blvd, Jacksonville, NC 28546",-77.3844337,34.7702163,Onslow County Schools,Onslow,A,96,1,31.7,5.5,1.8,1.1,13.7,5.9,8.6,32.3,1,21.3,50531
21,560329,Macon Early College High School,Franklin,"77 Siler Farm Road, Franklin, NC 28734",-83.3834774,35.1582638,Macon County Schools,Macon,A,96,1,30.1,5.9,14,0.4,22.3,11,11.1,10.4,2,26.5,46426
22,920583,Wake Early College of Health and Science,Raleigh,"2901 Holston Lane, Raleigh, NC 27610",-78.5847335,35.7848989,Wake County Schools,Wake,A,96,1,28.3,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
23,410569,STEM Early College @ NC A&T SU,Greensboro,"402 Laurel Street, Greensboro, NC 27411",-79.772595,36.0786274,Guilford County Schools,Guilford,A,96,1,28.3,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
24,970393,Wilkes Early College High School,Wilkesboro,"1328 S Collegiate Dr, Wilkesboro, NC 28697",-81.1827759,36.137136,Wilkes County Schools,Wilkes,A,96,1,27.9,6.5,8.9,2.5,30.6,17.2,6.8,12.4,1,26.5,44080
25,490320,Collaborative College for Technology,Statesville,"500 West Broad Street, Statesville, NC 28677",-80.893367,35.7830255,Iredell-Statesville Schools,Iredell,A,96,1,25,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
26,360418,Highland Sch of Technology,Gastonia,"1600 N Morris Street, Gastonia, NC 28052",-81.190608,35.280457,Gaston County Schools,Gaston,A,96,1,24.7,2.7,6.2,1.3,14.3,12.6,10.7,27,2,16.6,52798
27,110500,Nesbitt Discovery Academy,Asheville,"175 Bingham Rd Ste 10, Asheville, NC 28806",-82.5839146,35.6068121,Buncombe County Schools,Buncombe,A,96,1,22,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
28,810385,Rutherford Early College High School,Spindale,"286 ICC Loop Road, Spindale, NC 28160",-81.9131525,35.3362041,Rutherford County Schools,Rutherford,A,96,1,17.5,12.5,11.4,2,16.6,13.3,11.6,16,1,25.9,42831
29,410341,Brown Summit Middle,Browns Summit,"4720 NC Highway 150 East, Browns Summit, NC 27214",-79.701931,36.210539,Guilford County Schools,Guilford,A,96,1,16.9,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
30,410395,Early College at Guilford,Greensboro,"5608 West Friendly Avenue, Greensboro, NC 27410",-79.8858993,36.0896594,Guilford County Schools,Guilford,A,96,1,6,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
34,820324,Sampson Early College High,Clinton,"1801 Sunset Ave, Clinton, NC 28329",-78.3599458,34.9904375,Sampson County Schools,Sampson,A,95,1,54.4,0.1,21.4,1.3,16.3,18.6,7.1,49,1,33.1,42807
35,50303,Ashe County Early College High,West Jefferson,"363 Campus Drive, West Jefferson, NC 28694",-81.4762141,36.394232,Ashe County Schools,Ashe,A,95,1,36.7,5.2,0,1.1,12.3,12.5,5.5,7.1,2,23.3,41864
36,650340,Isaac M Bear Early College High School,Wilmington,"630 MacMillan Avenue, Wilmington, NC 28403",-77.8811648,34.2204535,New Hanover County Schools,New Hanover,A,94.8,1,35.4,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
37,900366,Central Academy of Technology and Arts,Monroe,"600 Brewer Dr, Monroe, NC 28112",-80.5674519,34.9719351,Union County Public Schools,Union,A,94.6,1,15,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
38,92D000,Magellan Charter,Raleigh,"9324 Baileywick Road, Raleigh, NC 27615",-78.661572,35.911553,Charter Schools,Wake,A,94.4,1,4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
39,390323,Granville Early College High,Creedmoor,"1552 South Campus Dr, Creedmoor, NC 27522",-78.7211228,36.1413341,Granville County Schools,Granville,A,94.3,1,35.7,4,13,1.3,6.7,11.9,10.2,41.4,2,18.4,58956
40,900378,Weddington Middle,Matthews,"5903 Deal Road, Matthews, NC 28104",-80.7238841,35.0060829,Union County Public Schools,Union,A,93.9,1,6,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
41,490347,Northview School,Statesville,"625 Carolina Ave N, Statesville, NC 28677",-80.8823129,35.8055507,Iredell-Statesville Schools,Iredell,A,93.8,1,25.6,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
42,920586,Wake Young Women's Leadership Academy,Raleigh,"301 Ashe Avenue, Governor Morehead, Raleigh, NC 27606",-78.6599658,35.7785889,Wake County Schools,Wake,A,93.4,1,35.6,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
43,900367,Union County Early College,Monroe,"4209A Old Charlotte Hwy, Monroe, NC 28110",-80.6204635,35.0312253,Union County Public Schools,Union,A,93.4,1,28.2,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
44,270311,The JP Knapp ECH (i)School,Currituck,"2966 Caratoke Hwy, Currituck, NC 27929",-76.0152197,36.4448126,Currituck County Schools,Currituck,A,93.4,1,18.5,3,0,2.6,22.8,10.2,2.8,11.5,3,12.4,64426
45,290315,Davidson Early College,Lexington,"297 DCCC Road, Lexington, NC 27295",-80.18047,35.866896,Davidson County Schools,Davidson,A,93.3,1,23.8,3.3,12.3,1,17.6,15.1,8.7,19.3,2,20,47758
46,900376,Weddington Elementary,Matthews,"3927 Twelve Mile Creek Road, Matthews, NC 28104",-80.7253223,35.0069312,Union County Public Schools,Union,A,93.2,1,4,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
47,140309,Caldwell Early College,Hudson,"2859 Hickory Blvd SW, Hudson, NC 28638",-81.4826814,35.8546639,Caldwell County Schools,Caldwell,A,93.2,1,32.2,2.8,7.1,0.5,19.1,17.2,7.6,11.9,1,20.3,43328
48,490355,Crossroads Arts Sciences Early College,Statesville,"476 N Center St, Statesville, NC 28677",-80.893496,35.7923821,Iredell-Statesville Schools,Iredell,A,92.7,1,38,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
